first_last_name,phone,email,username,language,permissions,status,user_type
Marcus_Peterson,(151)256-3351,Marcus_Peterson@mailinator.com,Marcus_Peterson,eng,sup,act,Admin
Brandy_Bradley,+53(8)8920661562,Brandy_Bradley@mailinator.com,Brandy_Bradley,eng,sup,act,Admin
Patrick_Jordan,538-051-6999x1797,Patrick_Jordan@mailinator.com,Patrick_Jordan,eng,sup,act,Admin
Caroline_Lowery,(609)784-1967x02330,Caroline_Lowery@mailinator.com,Caroline_Lowery,eng,sup,act,Admin
Kristin_Clark,(056)751-9067x0895,Kristin_Clark@mailinator.com,Kristin_Clark,eng,sup,act,Admin
Sophia_Randolph,1-193-454-0523x816,Sophia_Randolph@mailinator.com,Sophia_Randolph,eng,sup,act,Admin
Terry_Washington,074.055.0009,Terry_Washington@mailinator.com,Terry_Washington,eng,sup,act,Admin
Eric_Parker,574.052.5033x7868,Eric_Parker@mailinator.com,Eric_Parker,eng,sup,act,Admin
Matthew_Warren,(897)369-0045x6378,Matthew_Warren@mailinator.com,Matthew_Warren,eng,sup,act,Admin
Justin_Williams,1-065-272-6996,Justin_Williams@mailinator.com,Justin_Williams,eng,sup,act,Admin
